	mass A					
t	x	y	θ	ω	α	
17.426	-271.0	132.1	-206.0	-158.6	-700.9
17.459	-256.6	158.4	-211.7	-182.0	-663.8
17.493	-237.0	185.9	-218.1	-202.8	-547.2
17.526	-212.5	214.0	-225.2	-218.8	-441.5
17.559	-182.9	240.0	-232.7	-231.6	-339.1
17.592	-148.3	263.5	-240.6	-241.8	-268.3
17.626	-109.4	282.3	-248.8	-249.0	-201.1
17.659	-67.09	296.0	-257.2	-255.4	-172.3
17.692	-22.12	303.2	-265.8	-260.5	-41.09
17.726	24.40	304.2	-274.6	-259.0	92.64
17.759	69.29	298.1	-283.1	-253.1	223.1
17.792	112.3	285.7	-291.5	-245.0	288.0
17.826	151.2	268.3	-299.4	-233.3	390.8
17.859	185.7	246.4	-307.0	-219.4	458.8
17.892	214.9	222.3	-314.0	-202.4	537.9
17.926	239.0	197.1	-320.5	-183.7	585.2
17.959	258.0	172.3	-326.3	-163.3	636.9
17.992	272.2	148.7	-331.4	-141.3	712.7
18.026	283.2	127.9	-335.7	-115.9	795.6
18.059	290.6	111.0	-339.1	-88.02	835.8
18.092	295.5	98.60	-341.6	-60.16	849.3
18.126	298.1	90.60	-343.1	-31.61	865.1
18.159	298.7	87.58	-343.7	-2.314	872.8
18.192	298.2	89.73	-343.3	26.53	851.0
18.226	295.5	96.65	-341.9	54.49	843.6
18.259	291.2	108.2	-339.6	82.53	805.1
18.292	284.4	124.3	-336.4	108.6	778.8
18.326	274.7	143.7	-332.4	133.8	733.9
18.359	261.0	166.5	-327.5	158.2	684.4
18.392	243.0	191.0	-321.8	179.2	626.8
18.425	220.1	216.0	-315.5	199.7	572.7
18.459	191.6	240.6	-308.5	217.8	484.3
18.492	158.3	263.3	-301.0	231.8	346.9
18.525	120.3	282.1	-293.1	241.3	296.7
18.559	78.92	295.7	-284.9	250.6	191.2
18.592	33.93	303.1	-276.4	255.5	68.03
18.625	-11.06	304.4	-267.9	253.9	-51.15
18.659	-55.57	298.9	-259.5	252.4	-103.2
18.692	-98.29	287.1	-251.1	247.2	-213.8
18.725	-137.5	269.8	-243.0	238.0	-309.6
18.759	-172.2	248.2	-235.2	226.5	-384.4
18.792	-202.5	224.0	-227.9	212.5	-470.7
18.825	-227.6	198.4	-221.1	195.1	-565.1
18.859	-247.4	172.6	-214.9	174.8	-645.8
18.892	-263.0	148.4	-209.4	152.1	-733.7
18.925	-273.9	126.3	-204.8	126.1	-789.4
18.959	-281.8	108.3	-201.0	99.04	-804.8
18.992	-286.5	93.99	-198.2	72.63	-817.5
19.025	-289.9	84.16	-196.2	44.66	-840.9
19.059	-291.0	78.98	-195.2	16.32	-853.5
19.092	-291.2	78.58	-195.1	-11.99	-816.5
19.125	-290.0	83.08	-196.0	-38.56	-802.6
19.158	-287.8	91.68	-197.7	-64.81	-774.6
19.192	-283.2	104.8	-200.3	-90.84	-721.8
19.225	-276.6	121.6	-203.7	-112.8	-658.0
19.258	-267.4	141.1	-207.8	-134.3	-654.7
19.292	-254.5	163.2	-212.7	-156.6	-625.8
19.325	-237.4	187.2	-218.3	-176.3	-546.3
